t_s,pos_err_m,cum_err_m
600.0,1914333.9027768269,1914333.9027768269
1200.0,3857369.593417251,5771703.496194078
1800.0,5854073.867304845,11625777.363498922
2400.0,7921208.81772081,19546986.181219734
3000.0,10068114.915271537,29615101.09649127
3600.0,12291634.025598433,41906735.1220897
4200.0,14577657.112966685,56484392.235056385
4800.0,16903852.266486056,73388244.50154245
5400.0,19235987.34785107,92624231.84939352
6000.0,21533950.512079775,114158182.36147329
6600.0,23752724.654251967,137910907.01572526
7200.0,25840465.99673974,163751373.012465
7800.0,27746488.349311266,191497861.36177626
8400.0,29419406.12246061,220917267.48423687
9000.0,30807047.798857912,251724315.28309476
9600.0,31864932.697356,283589247.98045075
10200.0,32551996.865400963,316141244.8458517
10800.0,32833154.901614502,348974399.7474662
11400.0,32685561.474573437,381659961.22203964
12000.0,32095187.249984104,413755148.4720237
12600.0,31061321.18751865,444816469.6595424
13200.0,29601151.331872728,474417620.9914151
13800.0,27750755.715044543,502168376.70645964
14400.0,25574320.77639234,527742697.482852
15000.0,23175735.48817688,550918432.9710288
15600.0,20716528.612720206,571634961.583749
16200.0,18448179.691775594,590083141.2755246
16800.0,16737852.834794225,606820994.1103189
17400.0,16026824.614641117,622847818.72496
18000.0,16634808.146716814,639482626.8716768
18600.0,18530432.62755868,658013059.4992355
19200.0,21387071.418984503,679400130.91822
19800.0,24822360.95043201,704222491.8686521
20400.0,28524062.26516413,732746554.1338162
21000.0,32261089.30966264,765007643.4434788
21600.0,35861834.37466759,800869477.8181465
22200.0,39192573.25122868,840062051.0693752
22800.0,42146590.72262065,882208641.7919958
23400.0,44638367.29468716,926847009.0866829
24000.0,46599460.55645884,973446469.6431417
24600.0,47978833.961477615,1021425303.6046194
25200.0,48742698.56161976,1070168002.1662391
25800.0,48874591.24943575,1119042593.415675
26400.0,48378342.59601109,1167420936.011686
27000.0,47279280.915123075,1214700216.926809
27600.0,45626887.61898984,1260327104.545799
28200.0,43500749.20694836,1303827853.7527473
28800.0,41015337.03285145,1344843190.7855988
29400.0,38328764.15102028,1383171954.936619
30000.0,35653708.64585952,1418825663.5824785
30600.0,33262510.063788086,1452088173.6462667
31200.0,31476902.764045205,1483565076.410312
31800.0,30618261.12531467,1514183337.5356266
32400.0,30909947.982850216,1545093285.518477
33000.0,32384746.206455573,1577478031.7249324
33600.0,34876228.540272,1612354260.2652044
34200.0,38099529.79328751,1650453790.058492
34800.0,41746948.35440273,1692200738.4128947
35400.0,45541770.39432571,1737742508.8072205
36000.0,49253965.38365707,1786996474.1908774
36600.0,52699194.1954998,1839695668.3863773
37200.0,55731447.85980196,1895427116.2461793
37800.0,58237113.76460932,1953664230.0107887
38400.0,60131971.96694515,2013796201.9777339
39000.0,61358007.87758303,2075154209.8553169
39600.0,61882919.7194831,2137037129.5748
40200.0,61700849.312966324,2198737978.8877664
40800.0,60832733.653248616,2259570712.541015
41400.0,59328797.99007072,2318899510.531086
42000.0,57271702.917046495,2376171213.4481325
42600.0,54780123.95449745,2430951337.40263
43200.0,52014396.96288212,2482965734.365512
43800.0,49181150.97614247,2532146885.3416543
44400.0,46534062.592494756,2578680947.9341493
45000.0,44364441.302874304,2623045389.2370234
45600.0,42968562.18502095,2666013951.4220443
46200.0,42587726.762872964,2708601678.1849174
46800.0,43338911.041029274,2751940589.225947
47400.0,45174919.6974612,2797115508.923408
48000.0,47905451.0905909,2845020960.013999
48600.0,51260487.738466285,2896281447.7524652
49200.0,54952561.30682687,2951234009.0592923
49800.0,58716096.43764463,3009950105.496937
50400.0,62323651.45421485,3072273756.951152
51000.0,65588358.233331576,3137862115.1844835
51600.0,68362162.09671037,3206224277.2811937
52200.0,70532663.2437648,3276756940.5249586
52800.0,72020282.58961138,3348777223.11457
53400.0,72777302.37537293,3421554525.489943
54000.0,72787124.02527596,3494341649.515219
54600.0,72064505.70221198,3566406155.217431
55200.0,70657460.33397499,3637063615.551406
55800.0,68648866.10614076,3705712481.6575465
56400.0,66159327.38679092,3771871809.0443373
57000.0,63350887.44877289,3835222696.49311
57600.0,60428768.48371175,3895651464.976822
58200.0,57640132.51246252,3953291597.4892845
58800.0,55263801.02933089,4008555398.5186152
59400.0,53583124.004156396,4062138522.522772
60000.0,52839928.20122779,4114978450.7239995
60600.0,53178229.799152605,4168156680.523152
61200.0,54603492.05673111,4222760172.579883
61800.0,56983294.69957638,4279743467.2794595
62400.0,60087143.59557038,4339830610.87503
63000.0,63640553.98539654,4403471164.860426
63600.0,67369657.39377047,4470840822.254196
64200.0,71026539.30476008,4541867361.558956
64800.0,74399962.53149176,4616267324.090448
65400.0,77318443.92807545,4693585768.018524
66000.0,79648875.73111832,4773234643.749642
66600.0,81294995.10248235,4854529638.852125
67200.0,82196340.55499572,4936725979.407121
