t_s,pos_err_m,cum_err_m
71005.84635327065,72021158.3815449,72021158.3815449
121140.964704941,106986585.68594798,179007744.0674929
373631.40237647534,123613734.0730683,302621478.1405612
417187.7042928586,100825666.0117943,403447144.15235555
417868.2715103021,97690066.74582645,501137210.89818203
458475.4488177636,86131008.29527214,587268219.1934541
653571.384484897,78117084.2050274,665385303.3984816
685784.8994438888,108676420.98065177,774061724.3791333
763596.4179715944,113400305.67486271,887462030.0539961
821217.7757151431,133855155.2519422,1021317185.3059382
887459.6515463094,119163321.34907256,1140480506.6550107
932377.0878975795,130841713.04189046,1271322219.696901
932677.0878975795,131559857.13837177,1402882076.8352728
932977.0878975795,132084096.50005691,1534966173.3353298
933277.0878975795,132406250.41452369,1667372423.7498534
933577.0878975795,132521012.30701503,1799893436.0568683
933877.0878975795,132426081.29045564,1932319517.347324
934177.0878975795,132122047.4033674,2064441564.7506914
934477.0878975795,131612378.27122676,2196053943.0219183
934777.0878975795,130903522.52162416,2326957465.5435424
935077.0878975795,130004810.28417489,2456962275.8277173
935377.0878975795,128928407.57450797,2585890683.4022255
935677.0878975795,127689380.18704683,2713580063.5892725
935977.0878975795,126305587.29209349,2839885650.881366
936277.0878975795,124797568.43651868,2964683219.3178844
936577.0878975795,123188518.22591348,3087871737.543798
936877.0878975795,121504106.79537874,3209375844.3391767
937177.0878975795,119772214.32500874,3329148058.6641855
937477.0878975795,118022711.80895367,3447170770.4731393
937777.0878975795,116287085.21375592,3563457855.6868954
938077.0878975795,114597880.03081898,3678055735.7177143
938377.0878975795,112988146.26475687,3791043881.982471
938677.0878975795,111490736.37475137,3902534618.3572226
938977.0878975795,110137365.28759459,4012671983.6448174
939277.0878975795,108957691.69538386,4121629675.3402014
939577.0878975795,107978363.39772089,4229608038.737922
939877.0878975795,107221899.19706362,4336829937.934986
940177.0878975795,106705766.31625667,4443535704.251243
940477.0878975795,106441683.42679563,4549977387.678039
940777.0878975795,106434949.4748975,4656412337.152936
941077.0878975795,106684188.5078099,4763096525.660746
941377.0878975795,107181532.74980731,4870278058.410553
941677.0878975795,107912868.00259246,4978190926.413145
941977.0878975795,108858482.5476815,5087049408.960827
942277.0878975795,109994073.84333381,5197043482.804161
942577.0878975795,111291591.74514857,5308335074.54931
942877.0878975795,112720274.38164093,5421055348.930951
943177.0878975795,114247782.60273622,5535303131.533688
943477.0878975795,115841015.18849787,5651144146.722185
943777.0878975795,117466914.26275583,5768611060.984941
944077.0878975795,119093267.72919486,5887704328.714135
944377.0878975795,120689187.9394855,6008393516.653621
944677.0878975795,122225527.90325008,6130619044.55687
944977.0878975795,123675317.66674487,6254294362.223616
945277.0878975795,125013962.60785851,6379308324.831474
945577.0878975795,126219382.47354202,6505527707.3050165
945877.0878975795,127272220.7524929,6632799928.057509
946177.0878975795,128155907.1957069,6760955835.253217
946477.0878975795,128856655.35405618,6889812490.607273
946777.0878975795,129363564.2354735,7019176054.842747
947077.0878975795,129668645.16054593,7148844700.003293
947377.0878975795,129766757.78818971,7278611457.791483
947677.0878975795,129655665.74809332,7408267123.539577
947977.0878975795,129336073.84957816,7537603197.389154
948277.0878975795,128811534.41577853,7666414731.804933
948577.0878975795,128088476.64219484,7794503208.447127
948877.0878975795,127176263.54004267,7921679471.98717
949177.0878975795,126087067.71740238,8047766539.704573
949477.0878975795,124835863.29669066,8172602403.001264
949777.0878975795,123440480.57523598,8296042883.5765
950077.0878975795,121921416.59609884,8417964300.172599
950377.0878975795,120301740.14666772,8538266040.319266
950677.0878975795,118607077.79336932,8656873118.112637
950977.0878975795,116865271.98718214,8773738390.09982
951277.0878975795,115106100.25564674,8888844490.355467
951577.0878975795,113361051.43184678,9002205541.787313
951877.0878975795,111662700.58012041,9113868242.367434
952177.0878975795,110044104.69455238,9223912347.061985
952477.0878975795,108538195.79750945,9332450542.859495
952777.0878975795,107176805.51539758,9439627348.374893
953077.0878975795,105989681.96672978,9545617030.341623
953377.0878975795,105003570.06883334,9650620600.410456
953677.0878975795,104241090.73976745,9754861691.150223
953977.0878975795,103719744.34913601,9858581435.49936
954277.0878975795,103451202.3796575,9962032637.879017
954577.0878975795,103440689.13993892,10065473327.018955
954877.0878975795,103686670.2948075,10169159997.313763
955177.0878975795,104181004.48835358,10273341001.802116
955477.0878975795,104909317.81580594,10378250319.617922
955777.0878975795,105851617.47134788,10484101937.08927
956077.0878975795,106983246.3213473,10591085183.410618
956377.0878975795,108275907.39801823,10699361090.808636
956677.0878975795,109698638.6292836,10809059729.43792
956977.0878975795,111218886.14111893,10920278615.579039
957277.0878975795,112803484.33809082,11033082099.91713
957577.0878975795,114419379.1889634,11147501479.106092
957877.0878975795,116034349.60137726,11263535828.70747
958177.0878975795,117617637.32549593,11381153466.032967
958477.0878975795,119140268.72435646,11500293734.757322
958777.0878975795,120575401.88589482,11620869136.643217
959077.0878975795,121898675.25354262,11742767811.896759
959377.0878975795,123088250.756952,11865856062.653711
959677.0878975795,124124934.38911937,11989980997.042831
959977.0878975795,124992394.7360227,12114973391.778854
960277.0878975795,125677064.59028313,12240650456.369137
960577.0878975795,126168168.35793288,12366818624.72707
960877.0878975795,126457887.82015775,12493276512.547228
961177.0878975795,126541222.83479865,12619817735.382027
961477.0878975795,126415990.4379943,12746233725.82002
961777.0878975795,126082954.76366803,12872316680.583689
962077.0878975795,125545708.86619568,12997862389.449884
962377.0878975795,124810649.7614795,13122673039.211365
962677.0878975795,123887084.28262417,13246560123.493988
962977.0878975795,122787131.71590525,13369347255.209894
963277.0878975795,121525663.98239483,13490872919.19229
963577.0878975795,120120365.72360387,13610993284.915894
963877.0878975795,118591624.06149714,13729584908.97739
964177.0878975795,116962385.07892339,13846547294.056314
964477.0878975795,115258101.91950265,13961805395.975817
964777.0878975795,113506525.77894634,14075311921.754763
965077.0878975795,111737370.73497725,14187049292.48974
965377.0878975795,109982020.39359935,14297031312.883339
965677.0878975795,108273072.90445018,14405304385.787788
965977.0878975795,106643657.57572438,14511948043.363512
966277.0878975795,105126751.05946779,14617074794.42298
966577.0878975795,103754360.34758085,14720829154.77056
966877.0878975795,102556440.87833937,14823385595.6489
967177.0878975795,101559877.84703827,14924945473.495937
967477.0878975795,100787507.02246022,15025732980.518398
967777.0878975795,100257003.04766265,15125989983.566061
968077.0878975795,99980065.07185116,15225970048.637913
968377.0878975795,99961949.74321851,15325931998.381132
968677.0878975795,100201062.57063822,15426133060.95177
968977.0878975795,100689032.44585842,15526822093.397629
969277.0878975795,101411275.4531271,15628233368.850756
969577.0878975795,102347540.13590634,15730580908.986662
969877.0878975795,103472825.82645127,15834053734.813112
970177.0878975795,104758578.88171613,15938812313.694828
970477.0878975795,106173624.56610651,16044985938.260935
970777.0878975795,107685202.67566498,16152671140.9366
971077.0878975795,109260048.63846694,16261931189.575068
971377.0878975795,110865100.71701686,16372796290.292084
971677.0878975795,112468160.39843838,16485264450.690521
971977.0878975795,114038555.916022,16599303006.606543
972277.0878975795,115547484.04897219,16714850490.655516
972577.0878975795,116968286.24486625,16831818776.900381
972877.0878975795,118276777.46965271,16950095554.370033
973177.0878975795,119451358.92583801,17069546913.295872
973477.0878975795,120473068.03030132,17190019981.32617
973777.0878975795,121325730.80174437,17311345712.127914
974077.0878975795,121995990.54591972,17433341702.673836
974377.0878975795,122473255.83368194,17555814958.50752
974677.0878975795,122749778.13457271,17678564736.64209
974977.0878975795,122820677.19947818,17801385413.841568
975277.0878975795,122683847.90675326,17924069261.74832
975577.0878975795,122340007.48166125,18046409269.229984
975877.0878975795,121792748.71347919,18168202017.943462
976177.0878975795,121048424.7318407,18289250442.675304
976477.0878975795,120116174.62556803,18409366617.300873
976777.0878975795,119008004.30604282,18528374621.606915
977077.0878975795,117738639.21205126,18646113260.818966
977377.0878975795,116325507.64854471,18762438768.46751
977677.0878975795,114788816.66764557,18877227585.135155
977977.0878975795,113151325.19229159,18990378910.327446
978277.0878975795,111438219.71310212,19101817130.040546
978577.0878975795,109677099.54997143,19211494229.59052
978877.0878975795,107897557.05792807,19319391786.648445
979177.0878975795,106130834.43005607,19425522621.078503
979477.0878975795,104409522.3195585,19529932143.39806
979777.0878975795,102766822.42347533,19632698965.821537
980077.0878975795,101235809.51640251,19733934775.33794
980377.0878975795,99848699.03941785,19833783474.377357
980677.0878975795,98635739.65127315,19932419214.02863
980977.0878975795,97624111.38704321,20030043325.415672
981277.0878975795,96836952.32553813,20126880277.74121
981577.0878975795,96292250.52233516,20223172528.263546
981877.0878975795,96001932.44635418,20319174460.7099
982177.0878975795,95971353.32820956,20415145814.03811
982477.0878975795,96198965.40573005,20511344779.44384
982777.0878975795,96676328.95232199,20608021108.39616
983077.0878975795,97388625.58676086,20705409733.98292
983377.0878975795,98315381.22360566,20803725115.206528
983677.0878975795,99431338.22487965,20903156453.431408
983977.0878975795,100707602.57862392,21003864056.010033
984277.0878975795,102112783.39791079,21105976839.407944
984577.0878975795,103613957.79952571,21209590797.20747
984877.0878975795,105177682.05904238,21314768479.266514
985177.0878975795,106770882.84987809,21421539362.11639
985477.0878975795,108361419.02692883,21529900781.14332
985777.0878975795,109918650.86668631,21639819432.010006
986077.0878975795,111413952.25008346,21751233384.26009
986377.0878975795,112820875.36191449,21864054259.622005
986677.0878975795,114115377.5298046,21978169637.15181
986977.0878975795,115276106.63865685,22093445743.790466
987277.0878975795,116284339.1490765,22209730082.939545
987577.0878975795,117124031.8132145,22326854114.752758
987877.0878975795,117782031.68245152,22444636146.43521
988177.0878975795,118247909.27397136,22562884055.709183
988477.0878975795,118513965.90596232,22681398021.615147
988777.0878975795,118575394.46613541,22799973416.081284
989077.0878975795,118430122.25151643,22918403538.3328
989377.0878975795,118078794.4975759,23036482332.83038
989677.0878975795,117524913.41972628,23154007246.250107
989977.0878975795,116774717.89561392,23270781964.14572
990277.0878975795,115837148.23203504,23386619112.377758
990577.0878975795,114723963.95269783,23501343076.330456
