t_s,pos_err_m,cum_err_m
60.0,190965.34573401336,190965.34573401336
120.0,381925.7293296549,572891.0750636682
180.0,572967.516602444,1145858.5916661122
240.0,764142.5733542438,1910001.165020356
300.0,955346.0917508507,2865347.256771207
360.0,1146715.437945565,4012062.694716772
420.0,1338332.4405203233,5350395.135237096
480.0,1530143.5026607763,6880538.637897872
540.0,1722074.3594529277,8602612.9973508
600.0,1914333.9027765084,10516946.900127308
660.0,2107002.3562325668,12623949.256359875
720.0,2299854.5927263945,14923803.84908627
780.0,2492982.325005172,17416786.174091443
840.0,2686594.882405179,20103381.056496624
900.0,2880769.9120379444,22984150.968534566
960.0,3075046.351398503,26059197.319933068
1020.0,3269813.6001542243,29329010.920087293
1080.0,3465212.4588773088,32794223.378964603
1140.0,3661252.1295457035,36455475.50851031
1200.0,3857369.5934218997,40312845.101932205
1260.0,4054182.801122087,44367027.90305429
1320.0,4251762.525433575,48618790.42848787
1380.0,4449920.184042782,53068710.61253065
1440.0,4648319.942895516,57717030.555426165
1500.0,4847540.813356286,62564571.36878245
1560.0,5047648.965225268,67612220.33400773
1620.0,5248199.037814688,72860419.37182242
1680.0,5449205.967868492,78309625.33969091
1740.0,5651143.940793667,83960769.28048457
1800.0,5854073.86732457,89814843.14780915
1860.0,6057239.436245895,95872082.58405504
1920.0,6261121.504112922,102133204.08816797
1980.0,6466027.372208544,108599231.46037652
2040.0,6672012.162725463,115271243.62310198
2100.0,6877959.8029987095,122149203.42610069
2160.0,7084922.536241829,129234125.96234252
2220.0,7292983.273081364,136527109.2354239
2280.0,7501952.6842454765,144029061.91966936
2340.0,7711026.62730368,151740088.54697305
2400.0,7921208.817767689,159661297.36474073
2460.0,8132543.635593124,167793841.00033385
2520.0,8344518.168451829,176138359.16878566
2580.0,8556839.613618148,184695198.7824038
2640.0,8770310.239952026,193465509.02235582
2700.0,8984967.854756763,202450476.8771126
2760.0,9199934.7893945,211650411.6665071
2820.0,9415521.490886725,221065933.1573938
2880.0,9632277.811708122,230698210.96910194
2940.0,9850234.858942641,240548445.82804456
3000.0,10068114.915357493,250616560.74340206
3060.0,10286912.253394144,260903472.99679622
3120.0,10506878.995047763,271410351.991844
3180.0,10727934.56275409,282138286.5545981
3240.0,10948686.620127652,293086973.1747258
3300.0,11170567.511191566,304257540.6859173
3360.0,11393597.054708859,315651137.74062616
3420.0,11617323.582011819,327268461.322638
3480.0,11840994.833926084,339109456.15656406
3540.0,12065760.56539505,351175216.7219591
3600.0,12291634.025733143,363466850.7476922
3660.0,12517764.399395127,375984615.14708734
3720.0,12744105.91151636,388728721.0586037
3780.0,12971487.789719649,401700208.84832335
3840.0,13199916.875698209,414900125.72402155
3900.0,13428120.681719385,428328246.4057409
3960.0,13656815.189872788,441985061.5956137
4020.0,13886476.89016224,455871538.48577595
4080.0,14117106.434459893,469988644.9202358
4140.0,14346992.417647535,484335637.33788335
4200.0,14577657.11315585,498913294.4510392
4260.0,14809197.624687426,513722492.0757266
4320.0,15041314.077913614,528763806.1536403
4380.0,15272727.685352722,544036533.838993
4440.0,15504917.523598963,559541451.3625919
4500.0,15737874.58887357,575279325.9514655
4560.0,15970881.772343555,591250207.723809
4620.0,16203436.309502844,607453644.0333118
4680.0,16436647.748280402,623890291.7815922
4740.0,16670501.706877626,640560793.4884698
4800.0,16903852.2667309,657464645.7552007
4860.0,17137005.064868968,674601650.8200697
4920.0,17370680.149263375,691972330.969333
4980.0,17604858.10559648,709577189.0749295
5040.0,17837957.00878908,727415146.0837185
5100.0,18071114.123523917,745486260.2072425
5160.0,18304644.844665594,763790905.0519081
5220.0,18538452.006215602,782329357.0581237
5280.0,18770733.753321648,801100090.8114454
5340.0,19003254.48275256,820103345.2941979
5400.0,19235987.3481481,839339332.642346
5460.0,19468413.03756757,858807745.6799136
5520.0,19699544.57289873,878507290.2528124
5580.0,19930746.14932805,898438036.4021404
5640.0,20161986.912182115,918600023.3143225
5700.0,20392322.639578484,938992345.9539009
5760.0,20621594.48241176,959613940.4363127
5820.0,20850756.89133885,980464697.3276515
5880.0,21079775.39505413,1001544472.7227056
5940.0,21307281.52999166,1022851754.2526972
6000.0,21533950.512417965,1044385704.7651151
6060.0,21760321.400505364,1066146026.1656206
6120.0,21986356.50226799,1088132382.6678886
6180.0,22210266.87261648,1110342649.5405052
6240.0,22433561.094937574,1132776210.6354427
6300.0,22656360.735599585,1155432571.3710423
6360.0,22878372.416365113,1178310943.7874074
6420.0,23098151.824845146,1201409095.6122525
6480.0,23317275.65004826,1224726371.2623007
6540.0,23535701.941216722,1248262073.2035174
6600.0,23752724.654611688,1272014797.858129
6660.0,23967725.217066146,1295982523.075195
6720.0,24181864.28245366,1320164387.3576488
6780.0,24395097.756018944,1344559485.1136677
6840.0,24606313.502084367,1369165798.615752
6900.0,24815711.286182996,1393981509.9019349
6960.0,25024037.514573503,1419005547.4165084
7020.0,25231246.34109649,1444236793.7576048
7080.0,25435828.391981192,1469672622.149586
7140.0,25638789.4005856,1495311411.5501716
7200.0,25840465.997092463,1521151877.547264
7260.0,26040792.30727271,1547192669.8545368
7320.0,26237928.572424367,1573430598.4269612
7380.0,26433613.726465907,1599864212.1534271
7440.0,26627800.14983802,1626492012.303265
7500.0,26820027.75606514,1653312040.0593302
7560.0,27009262.706386335,1680321302.7657166
7620.0,27196832.79585144,1707518135.561568
7680.0,27382689.69586618,1734900825.2574341
7740.0,27565989.93465526,1762466815.1920893
7800.0,27746488.349620853,1790213303.5417101
7860.0,27925108.94567371,1818138412.4873838
7920.0,28101803.060238846,1846240215.5476227
7980.0,28275356.269844916,1874515571.8174677
8040.0,28446291.28180652,1902961863.0992742
8100.0,28615137.605100047,1931577000.7043743
8160.0,28781846.612677768,1960358847.3170521
8220.0,28944846.74181377,1989303694.0588658
8280.0,29105404.673594914,2018409098.7324607
8340.0,29263666.415721387,2047672765.1481822
8400.0,29419406.12268857,2077092171.2708707
8460.0,29571242.92509093,2106663414.1959617
8520.0,29720628.079541516,2136384042.2755032
8580.0,29867514.17647621,2166251556.451979
8640.0,30011317.808873873,2196262874.260853
8700.0,30151406.852630865,2226414281.113484
8760.0,30288846.25445142,2256703127.367935
8820.0,30423589.612867467,2287126716.9808025
8880.0,30554710.74527357,2317681427.726076
8940.0,30682299.706610024,2348363727.4326863
9000.0,30807047.798967034,2379170775.231653
9060.0,30928909.978573665,2410099685.210227
9120.0,31046632.945212867,2441146318.15544
9180.0,31161000.34875208,2472307318.504192
9240.0,31272343.64976371,2503579662.1539555
9300.0,31380619.507478595,2534960281.661434
9360.0,31484263.86024097,2566444545.521675
9420.0,31584723.713830046,2598029269.235505
9480.0,31681985.441054605,2629711254.67656
