t_s,pos_err_m,cum_err_m
600.0,1323247.5271489285,1323247.5271489285
1200.0,2883038.094197849,4206285.621346777
1800.0,5624597.456076659,9830883.077423437
2400.0,9737510.343944553,19568393.421367988
3000.0,14796626.7940301,34365020.21539809
3600.0,20215206.385116346,54580226.600514434
4200.0,25375397.853616294,79955624.45413072
4800.0,29695082.188254837,109650706.64238556
5400.0,32692538.540065575,142343245.18245113
6000.0,34053083.28950347,176396328.47195458
6600.0,33699421.60535542,210095750.07731
7200.0,31874354.878149953,241970104.95545995
7800.0,29248310.46007142,271218415.4155314
8400.0,27011269.119620394,298229684.5351518
9000.0,26649177.41450725,324878861.94965905
9600.0,28979283.419289358,353858145.3689484
10200.0,33384039.52213853,387242184.89108694
10800.0,38484300.52511526,425726485.4162022
11400.0,43025115.1836648,468751600.599867
12000.0,46138119.949122936,514889720.5489899
12600.0,47343230.99629344,562232951.5452833
13200.0,46539457.787056066,608772409.3323394
13800.0,44027533.28971927,652799942.6220586
14400.0,40558054.145885654,693357996.7679443
15000.0,37351678.06377591,730709674.8317202
15600.0,35873217.66937923,766582892.5010995
16200.0,37063413.861330286,803646306.3624297
16800.0,40568679.78748558,844214986.1499153
17400.0,45074826.646397784,889289812.7963132
18000.0,49195238.98992067,938485051.7862338
18600.0,51919247.84484267,990404299.6310765
19200.0,52687271.24204436,1043091570.8731208
19800.0,51378112.59001898,1094469683.4631398
20400.0,48308414.153289,1142778097.6164289
21000.0,44253728.16555879,1187031825.7819877
21600.0,40442575.149517655,1227474400.9315052
22200.0,38328498.824348636,1265802899.755854
22800.0,38869639.32303294,1304672539.0788867
23400.0,41767336.845838696,1346439875.9247255
24000.0,45724929.16825285,1392164805.0929785
24600.0,49330166.52113569,1441494971.6141143
25200.0,51549444.91681459,1493044416.5309289
25800.0,51818426.54908826,1544862843.080017
26400.0,50019035.35848291,1594881878.4385
27000.0,46461514.47294222,1641343392.911442
27600.0,41891415.4066712,1683234808.3181133
28200.0,37489590.67867088,1720724398.9967842
28800.0,34694543.24164248,1755418942.2384267
29400.0,34528556.6238254,1789947498.862252
30000.0,36756419.650434725,1826703918.5126867
30600.0,40078339.43714194,1866782257.9498286
31200.0,43078951.02575498,1909861208.9755836
31800.0,44753154.30631591,1954614363.2818995
32400.0,44569304.368192956,1999183667.6500924
33000.0,42410837.74724355,2041594505.397336
33600.0,38526637.45659467,2080121142.8539307
34200.0,33512908.22689982,2113634051.0808306
34800.0,28329532.928761933,2141963584.0095925
35400.0,24284525.957443137,2166248109.967036
36000.0,22631513.94340698,2188879623.910443
36600.0,23518949.0617265,2212398572.9721694
37200.0,25722480.96083921,2238121053.9330087
37800.0,27800366.04127388,2265921419.9742827
38400.0,28823534.995112214,2294744954.969395
39000.0,28381111.114478085,2323126066.0838733
39600.0,26443329.65454842,2349569395.738422
40200.0,23260562.135053795,2372829957.8734756
40800.0,19299387.944500316,2392129345.817976
41400.0,15214952.897742368,2407344298.7157183
42000.0,11875316.61447509,2419219615.3301935
42600.0,10289158.331361443,2429508773.661555
43200.0,10757953.166169848,2440266726.8277245
43800.0,12129135.802668585,2452395862.630393
44400.0,13129348.643826986,2465525211.27422
45000.0,13200863.115464823,2478726074.3896847
45600.0,12440487.367482388,2491166561.757167
46200.0,11698688.632759884,2502865250.389927
46800.0,12529355.286011538,2515394605.6759386
47400.0,15819065.373518137,2531213671.0494566
48000.0,20827246.07984938,2552040917.129306
48600.0,26364884.815016966,2578405801.9443226
49200.0,31478061.264932357,2609883863.2092547
49800.0,35462998.89539678,2645346862.1046515
50400.0,37842106.00797323,2683188968.1126246
51000.0,38387011.97942207,2721575980.0920467
51600.0,37170575.49796129,2758746555.5900083
52200.0,34643296.968798496,2793389852.558807
52800.0,31726442.334034164,2825116294.892841
53400.0,29805513.544212453,2854921808.437053
54000.0,30233026.937612657,2885154835.3746657
54600.0,33292813.062935077,2918447648.4376006
55200.0,37965437.32026077,2956413085.7578616
55800.0,42831359.06160417,2999244444.8194656
56400.0,46739720.61345154,3045984165.432917
57000.0,48953847.358917564,3094938012.791835
57600.0,49142457.34303738,3144080470.1348724
58200.0,47377874.04325483,3191458344.1781273
58800.0,44163715.316886336,3235622059.4950137
59400.0,40473807.61079844,3276095867.105812
60000.0,37695080.319983006,3313790947.425795
60600.0,37180369.57610239,3350971317.0018973
61200.0,39350567.58016277,3390321884.5820603
61800.0,43334862.87086136,3433656747.452922
62400.0,47692431.88702352,3481349179.3399453
63000.0,51166437.40426479,3532515616.7442102
63600.0,52937811.240389615,3585453427.9846
64200.0,52641396.360923536,3638094824.345524
64616.636161295915,51240465.753309004,3689335290.0988326
