t_s,pos_err_m,cum_err_m
300.0,675289.7311015878,675289.7311015878
600.0,1323247.527182305,1998537.2582838926
900.0,2010194.744418105,4008732.0027019978
1200.0,2883038.094496536,6891770.097198534
1500.0,4070942.6087186327,10962712.705917167
1800.0,5624597.457090228,16587310.163007393
2100.0,7529706.54832554,24117016.711332932
2400.0,9737510.346045287,33854527.05737822
2700.0,12183884.509200301,46038411.56657852
3000.0,14796626.797286823,60835038.363865346
3300.0,17499697.336237162,78334735.70010251
3600.0,20215206.38913238,98549942.08923489
3900.0,22865553.565378346,121415495.65461323
4200.0,25375397.857544504,146790893.51215774
4500.0,27673515.584092204,174464409.09624994
4800.0,29695082.19102751,204159491.28727746
5100.0,31383454.937655386,235542946.22493285
5400.0,32692538.540747922,268235484.76568076
5700.0,33588696.35117326,301824181.116854
6000.0,34053083.287614025,335877264.40446806
6300.0,34083982.87381782,369961247.27828586
6600.0,33699421.60096333,403660668.8792492
6900.0,32940390.859995164,436601059.7392444
7200.0,31874354.871914234,468475414.6111586
7500.0,30599528.944604702,499074943.5557633
7800.0,29248310.453403845,528323254.00916713
8100.0,27987782.103017997,556311036.1121851
8400.0,27011269.115007058,583322305.2271922
8700.0,26513745.47849076,609836050.7056829
9000.0,26649177.414943587,636485228.1206264
9300.0,27484519.181635056,663969747.3022615
9600.0,28979283.425822057,692949030.7280835
9900.0,31004376.688425884,723953407.4165094
10200.0,33384039.53273336,757337446.9492427
10500.0,35934032.082687855,793271479.0319306
10800.0,38484300.53638493,831755779.5683155
11100.0,40888308.000170246,872644087.5684857
11400.0,43025115.19246848,915669202.7609543
11700.0,44798950.59524815,960468153.3562024
12000.0,46138119.953283,1006606273.3094853
12300.0,46994467.27808809,1053600740.5875734
12600.0,47343230.99487071,1100943971.5824442
12900.0,47183551.39913356,1148127522.9815779
13200.0,46539457.78033065,1194666980.7619085
13500.0,45461281.63756125,1240128262.3994699
13800.0,44027533.27912101,1284155795.6785908
14100.0,42346653.76699304,1326502449.4455838
14400.0,40558054.1340894,1367060503.5796733
14700.0,38830091.4529724,1405890595.0326457
15000.0,37351678.054873556,1443242273.0875192
15300.0,36312922.610572346,1479555195.6980915
15600.0,35873217.6679313,1515428413.3660228
15900.0,36124035.461240076,1551552448.8272629
16200.0,37063413.8692354,1588615862.6964984
16500.0,38597709.18917579,1627213571.8856742
16800.0,40568679.80202797,1667782251.6877022
17100.0,42789630.151078634,1710571881.8387809
17400.0,45074826.66243695,1755646708.5012178
17700.0,47257004.54455823,1802903713.0457761
18000.0,49195239.002687275,1852098952.0484633
18300.0,50777215.44882741,1902876167.4972908
18600.0,51919247.85119903,1954795415.3484898
18900.0,52565471.00905027,2007360886.3575401
19200.0,52687271.24072359,2060048157.5982637
19500.0,52282987.415285274,2112331145.013549
19800.0,51378112.58145934,2163709257.5950084
20100.0,50025929.42349851,2213735187.018507
20400.0,48308414.13947776,2262043601.1579847
20700.0,46337230.17894697,2308380831.3369317
21000.0,44253728.150086634,2352634559.487018
21300.0,42226424.123973325,2394860983.6109915
21600.0,40442575.13766675,2435303558.748658
21900.0,39090164.64683545,2474393723.3954935
22200.0,38328498.82177673,2512722222.2172704
22500.0,38253072.16211333,2550975294.3793836
22800.0,38869639.33200715,2589844933.7113905
23100.0,40092338.16746486,2629937271.878855
23400.0,41767336.86295406,2671704608.7418094
23700.0,43707832.40306432,2715412441.1448736
24000.0,45724929.1871912,2761137370.3320646
24300.0,47647221.77104074,2808784592.1031055
24600.0,49330166.53621051,2858114758.639316
24900.0,50659152.39274495,2908773911.032061
25200.0,51549444.924433835,2960323355.956495
25500.0,51945232.51671219,3012268588.473207
25800.0,51818426.54787861,3064087015.0210857
26100.0,51167893.93144913,3115254908.9525347
26400.0,50019035.34900667,3165273944.3015413
26700.0,48423860.04246563,3213697804.344007
27000.0,46461514.45742967,3260159318.801437
27300.0,44238960.37301986,3304398279.1744566
27600.0,41891415.38906995,3346289694.5635266
27900.0,39580795.75387186,3385870490.3173985
28200.0,37489590.66479871,3423360080.9821973
28500.0,35805626.64851902,3459165707.6307163
28800.0,34694543.237929225,3493860250.8686457
29100.0,34263205.3370974,3528123456.205743
