t_s,pos_err_m,cum_err_m
60.0,136732.47632377382,136732.47632377382
120.0,272992.32835964795,409724.80468342174
180.0,408397.56953220203,818122.3742156238
240.0,542570.9621046863,1360693.3363203101
300.0,675289.7311016008,2035983.0674219108
360.0,806605.7070167693,2842588.77443868
420.0,936684.456707354,3779273.2311460343
480.0,1065629.9373827137,4844903.168528748
540.0,1194229.776757454,6039132.945286201
600.0,1323247.527182603,7362380.472468805
660.0,1453453.82996251,8815834.302431315
720.0,1585949.5597062267,10401783.862137541
780.0,1722091.3202079744,12123875.182345515
840.0,1863158.3095994275,13987033.491944943
900.0,2010194.7444202802,15997228.236365223
960.0,2164838.827239566,18162067.06360479
1020.0,2328374.5311105535,20490441.594715346
1080.0,2501834.2440896113,22992275.838804957
1140.0,2686357.92656839,25678633.765373345
1200.0,2883038.094502904,28561671.85987625
1260.0,3092666.0573461168,31654337.917222366
1320.0,3315685.300837078,34970023.21805944
1380.0,3552868.078454752,38522891.2965142
1440.0,3804584.7005169694,42327475.99703117
1500.0,4070942.6087321914,46398418.60576336
1560.0,4352118.616772972,50750537.22253633
1620.0,4648225.201379381,55398762.423915714
1680.0,4959165.817745341,60357928.24166106
1740.0,5284636.726328592,65642564.967989646
1800.0,5624597.457114846,71267162.4251045
1860.0,5978763.909229071,77245926.33433357
1920.0,6346703.555595937,83592629.8899295
1980.0,6728089.47820451,90320719.368134
2040.0,7122576.817673415,97443296.18580742
2100.0,7529706.548366394,104973002.73417382
2160.0,7948909.71609082,112921912.45026463
2220.0,8379828.12406052,121301740.57432516
2280.0,8821952.720761113,130123693.29508626
2340.0,9274679.781380324,139398373.0764666
2400.0,9737510.346106008,149135883.4225726
2460.0,10209938.259273523,159345821.68184614
2520.0,10691383.06574239,170037204.74758855
2580.0,11181196.252617298,181218401.00020584
2640.0,11678893.617119106,192897294.61732495
2700.0,12183884.509282779,205081179.12660772
2760.0,12695506.23901789,217776685.36562562
2820.0,13213191.922123043,230989877.28774866
2880.0,13736367.543236332,244726244.830985
2940.0,14264404.05616346,258990648.88714847
3000.0,14796626.79739101,273787275.6845395
3060.0,15332493.384019045,289119769.0685585
3120.0,15871380.679810973,304991149.7483695
3180.0,16412606.622156544,321403756.3705261
3240.0,16955578.8796988,338359335.2502249
3300.0,17499697.336360615,355859032.5865855
3360.0,18044319.37836944,373903351.964955
3420.0,18588772.518784426,392492124.4837394
3480.0,19132495.57232285,411624620.0560622
3540.0,19674864.5315196,431299484.5875818
3600.0,20215206.389269993,451514690.9768518
3660.0,20752935.168838643,472267626.14569044
3720.0,21287457.395465672,493555083.5411561
3780.0,21818147.028176907,515373230.569333
3840.0,22344361.009405237,537717591.5787382
3900.0,22865553.565522455,560583145.1442606
3960.0,23381130.257007796,583964275.4012685
4020.0,23890456.24317004,607854731.6444385
4080.0,24392983.21909956,632247714.863538
4140.0,24888156.584618337,657135871.4481564
4200.0,25375397.857685667,682511269.305842
4260.0,25854122.77702669,708365392.0828687
4320.0,26323834.62593946,734689226.7088082
4380.0,26784000.057321783,761473226.76613
4440.0,27234053.235474635,788707280.0016046
4500.0,27673515.584219534,816380795.5858241
4560.0,28101904.138437733,844482699.7242619
4620.0,28518720.01065635,873001419.7349182
4680.0,28923468.647310004,901924888.3822283
4740.0,29315736.02494924,931240624.4071774
4800.0,29695082.1911294,960935706.5983069
4860.0,30061042.214217465,990996748.8125243
4920.0,30413239.756071217,1021409988.5685955
4980.0,30751296.56921065,1052161285.1378062
5040.0,31074825.987514887,1083236111.1253211
5100.0,31383454.937719207,1114619566.0630403
5160.0,31676885.766040463,1146296451.8290808
5220.0,31954804.724849187,1178251256.55393
5280.0,32216880.401063252,1210468136.9549932
5340.0,32462871.66374413,1242931008.6187375
5400.0,32692538.540759027,1275623547.1594965
5460.0,32905639.938673977,1308529187.0981705
5520.0,33101957.041446745,1341631144.1396172
5580.0,33281342.935725622,1374912487.075343
5640.0,33443644.001242306,1408356131.0765853
5700.0,33588696.35112422,1441944827.4277096
5760.0,33716428.51454245,1475661255.942252
5820.0,33826774.04944503,1509488029.9916968
5880.0,33919672.856375635,1543407702.8480725
5940.0,33995095.6616514,1577402798.509724
6000.0,34053083.28750055,1611455881.7972245
6060.0,34093679.32707745,1645549561.124302
6120.0,34116925.053957365,1679666486.1782594
6180.0,34122957.19825854,1713789443.376518
6240.0,34111922.65306915,1747901366.0295873
6300.0,34083982.873638935,1781985348.9032261
6360.0,34039339.23746449,1816024688.1406906
6420.0,33978263.60960373,1850002951.7502942
6480.0,33901040.92241674,1883903992.672711
6540.0,33807962.94078622,1917711955.613497
6600.0,33699421.60072145,1951411377.2142184
6660.0,33575826.02257537,1984987203.2367938
6720.0,33437609.558688127,2018424812.795482
6780.0,33285255.888309117,2051710068.683791
6840.0,33119322.30463175,2084829390.9884226
6900.0,32940390.859695878,2117769781.8481185
6960.0,32749061.17197924,2150518843.0200977
7020.0,32546039.84262176,2183064882.8627195
7080.0,32332059.536782905,2215396942.3995023
7140.0,32107888.06800615,2247504830.4675083
7200.0,31874354.87156976,2279379185.339078
7260.0,31632367.840823673,2311011553.1799016
7320.0,31382871.24642581,2342394424.426327
7380.0,31126837.0347594,2373521261.4610868
7440.0,30865350.303217135,2404386611.7643037
7500.0,30599528.944234245,2434986140.708538
7560.0,30330533.139716078,2465316673.848254
7620.0,30059590.675397996,2495376264.523652
7680.0,29788006.40371267,2525164270.927365
7740.0,29517123.466453202,2554681394.393818
7800.0,29248310.453034066,2583929704.846852
7860.0,28983040.88472385,2612912745.7315755
7920.0,28722809.146760777,2641635554.8783364
7980.0,28469136.25474429,2670104691.1330805
8040.0,28223589.815459773,2698328280.94854
8100.0,27987782.102683183,2726316063.0512233
8160.0,27763328.531782802,2754079391.583006
8220.0,27551825.523682535,2781631217.1066885
8280.0,27354919.843439426,2808986136.950128
8340.0,27174215.05154343,2836160352.0016713
8400.0,27011269.11474745,2863171621.116419
8460.0,26867605.669196475,2890039226.7856154
8520.0,26744698.841162276,2916783925.6267776
8580.0,26643927.562010247,2943427853.188788
8640.0,26566545.725127496,2969994398.9139156
8700.0,26513745.478346426,2996508144.392262
8760.0,26486560.413584676,3022994704.8058467
8820.0,26485864.354876924,3049480569.1607237
8880.0,26512386.28747962,3075992955.448203
8940.0,26566697.30872711,3102559652.7569304
9000.0,26649177.414943263,3129208830.1718736
9060.0,26760000.647289213,3155968830.819163
9120.0,26899206.486346558,3182868037.3055096
9180.0,27066626.78433192,3209934664.0898414
9240.0,27261902.2847804,3237196566.374622
9300.0,27484519.181787606,3264681085.5564094
9360.0,27733813.067122906,3292414898.6235323
9420.0,28008958.757188793,3320423857.380721
9480.0,28308976.328106575,3348732833.7088275
9540.0,28632811.67309907,3377365645.3819265
9600.0,28979283.426114503,3406344928.808041
9660.0,29347108.67980755,3435692037.4878488
9720.0,29734948.163885806,3465426985.6517344
9780.0,30141411.750687536,3495568397.402422
9840.0,30565053.045672804,3526133450.448095
9900.0,31004376.68882938,3557137827.1369243
9960.0,31457908.993801646,3588595736.130726
10020.0,31924145.84237775,3620519881.9731035
10080.0,32401570.40789266,3652921452.380996
10140.0,32888691.722647034,3685810144.1036434
10200.0,33384039.533212263,3719194183.6368556
10260.0,33886153.40880161,3753080337.045657
10320.0,34393583.78036937,3787473920.8260264
10380.0,34904948.82111948,3822378869.6471457
10440.0,35418880.12405184,3857797749.771198
10500.0,35934032.083201945,3893731781.8543997
10560.0,36449115.08088374,3930180896.9352837
10620.0,36962882.267795295,3967143779.2030787
10680.0,37474116.099941164,4004617895.30302
10740.0,37981626.79628588,4042599522.099306
10800.0,38484300.536895305,4081083822.6362014
10860.0,38981046.40658318,4120064869.0427847
10920.0,39470801.88208676,4159535670.9248714
10980.0,39952564.90549586,4199488235.830367
11040.0,40425376.50317712,4239913612.3335443
11100.0,40888308.00064098,4280801920.334185
11160.0,41340459.976237655,4322142380.310423
11220.0,41781005.23158236,4363923385.542006
11280.0,42209138.844493754,4406132524.386499
11340.0,42624082.060620286,4448756606.44712
11400.0,43025115.19286709,4491781721.639987
11460.0,43411557.677131616,4535193279.317119
11520.0,43782757.097018965,4578976036.414138
11580.0,44138089.65317663,4623114126.067314
11640.0,44476999.1689673,4667591125.236281
11700.0,44798950.595545776,4712390075.831827
11760.0,45103432.99730742,4757493508.829135
11820.0,45389993.73486133,4802883502.563996
11880.0,45658216.385394886,4848541718.949391
11940.0,45907711.744199626,4894449430.693591
12000.0,46138119.95345744,4940587550.647049
12060.0,46349145.89430384,4986936696.541353
12120.0,46540516.05702066,5033477212.598373
12180.0,46711980.76411926,5080189193.362493
12240.0,46863349.58805675,5127052542.950549
12300.0,46994467.278124146,5174047010.228673
12360.0,47105206.66672954,5221152216.895403
12420.0,47195472.37742461,5268347689.272827
12480.0,47265232.71366532,5315612921.986492
12540.0,47314479.78382702,5362927401.770319
12600.0,47343230.99476057,5410270632.7650795
12660.0,47351565.54142129,5457622198.3065
12720.0,47339598.483740464,5504961796.790241
12780.0,47307475.46380563,5552269272.254046
12840.0,47255377.88558047,5599524650.1396265
12900.0,47183551.39887719,5646708201.538504
12960.0,47092269.19373182,5693800470.732236
13020.0,46981832.78856616,5740782303.5208025
13080.0,46852609.42754471,5787634912.948347
13140.0,46705004.46478835,5834339917.413136
13200.0,46539457.7799358,5880879375.193071
13260.0,46356450.297967725,5927235825.491039
13320.0,46156529.17114931,5973392354.662189
13380.0,45940274.08079475,6019332628.742983
13440.0,45708297.2693265,6065040926.012309
13500.0,45461281.63704517,6110502207.649354
13560.0,45199951.44692887,6155702159.096283
13620.0,44925070.160578735,6200627229.256862
13680.0,44637447.983701296,6245264677.240563
13740.0,44337963.6619327,6289602640.902496
13800.0,44027533.27851202,6333630174.181008
13860.0,43707109.12231213,6377337283.303321
13920.0,43377717.95165535,6420715001.254976
13980.0,43040429.47236065,6463755430.727337
14040.0,42696354.73742614,6506451785.464763
14100.0,42346653.76632994,6548798439.231092
14160.0,41992553.1464266,6590790992.377519
14220.0,41635315.88063122,6632426308.25815
14280.0,41276237.69634431,6673702545.954494
14340.0,40916683.97083465,6714619229.925329
14400.0,40558054.133421086,6755177284.05875
14460.0,40201778.48708114,6795379062.545832
14520.0,39849323.60999421,6835228386.155826
14580.0,39502203.5120655,6874730589.6678915
14640.0,39161947.575199075,6913892537.243091
14700.0,38830091.45235678,6952722628.695447
14760.0,38508209.86656481,6991230838.562012
14820.0,38197873.7732195,7029428712.335231
14880.0,37900642.53330352,7067329354.868534
14940.0,37618064.247620285,7104947419.116155
15000.0,37351678.0543744,7142299097.170529
15060.0,37102977.748887874,7179402074.919417
15120.0,36873395.73061039,7216275470.650028
15180.0,36664331.08406836,7252939801.734097
15240.0,36477099.58207076,7289416901.316167
15300.0,36312922.61025,7325729823.926417
15360.0,36172925.24288449,7361902749.169302
15420.0,36058134.06304171,7397960883.232344
15480.0,35969442.234245285,7433930325.466589
15540.0,35907594.09609388,7469837919.562683
