t_s,pos_err_m,cum_err_m
600.0,28969.263948794087,28969.263948794087
1200.0,60126.46778456558,89095.73173335967
1800.0,93560.66870833345,182656.40044169314
1818.0635732049152,94585.4153555545,277241.81579724763
1834.3207890893389,95506.16787473278,372747.98367198044
1848.9522833853202,96337.49908992511,469085.4827619055
1862.1206282517035,97082.84510977684,566168.3278716824
1873.9721386314484,97753.52227212083,663921.8501438032
1884.6384979732188,98365.71504077059,762287.5651845738
1894.2382213808123,98902.56992712378,861190.1351116975
1902.8779724476462,99392.64224002151,960582.777351719
1910.653748407797,99835.21441935693,1060417.9917710759
1917.6519467719324,100232.19465690089,1160650.1864279767
1923.9503252996544,100587.69072909058,1261237.8771570672
1924.9503252996544,100647.15559218753,1361885.0327492547
1925.9503252996544,100706.67131844051,1462591.7040676952
1926.9503252996544,100759.56222979561,1563351.2662974908
1927.9503252996544,100813.79589462093,1664165.0621921117
1928.9503252996544,100869.37787011793,1765034.4400622298
1929.9503252996544,100926.31394478862,1865960.7540070184
1930.9503252996544,100984.61013701066,1966945.364144029
1931.9503252996544,101044.27269356768,2067989.6368375968
1932.9503252996544,101102.62127226732,2169092.2581098643
1933.9503252996544,101155.69646120247,2270247.954571067
1934.9503252996544,101210.11703226219,2371458.071603329
1935.9503252996544,101265.88856833096,2472723.96017166
1936.9503252996544,101323.01688239223,2574046.977054052
1937.9503252996544,101381.50801610708,2675428.485070159
1938.9503252996544,101441.36823834587,2776869.853308505
1939.9503252996544,101498.54499791024,2878368.398306415
1940.9503252996544,101551.80452581032,2979920.2028322252
1941.9503252996544,101606.41204526763,3081526.6148774927
1942.9503252996544,101662.37316454077,3183188.9880420333
1943.9503252996544,101719.69372079795,3284908.6817628313
1944.9503252996544,101778.37977869624,3386687.0615415275
1945.9503252996544,101838.43762891601,3488525.4991704435
1946.9503252996544,101894.43795165417,3590419.9371220977
1947.9503252996544,101947.88187019042,3692367.8189922883
1948.9503252996544,102002.6763704592,3794370.4953627475
1949.9503252996544,102058.8270857889,3896429.3224485363
1950.9503252996544,102116.33987723914,3998545.6623257753
1951.9503252996544,102175.22083218048,4100720.883157956
1952.9503252996544,102235.47626283253,4202956.3594207885
1953.9503252996544,102290.29558500565,4305246.655005794
1954.9503252996544,102343.92393620205,4407590.578941996
1955.9503252996544,102398.90544001375,4509989.48438201
1956.9503252996544,102455.24575454058,4612444.730136551
1957.9503252996544,102512.95076444355,4714957.680900995
1958.9503252996544,102572.02657952916,4817529.707480524
1959.9503252996544,102632.4795332887,4920162.187013812
1960.9503252996544,102686.11334516884,5022848.300358981
1961.9503252996544,102739.92616146809,5125588.226520449
1962.9503252996544,102795.09468194106,5228383.32120239
1963.9503252996544,102851.62458916244,5331234.945791553
1964.9503252996544,102909.52179111172,5434144.467582664
1965.9503252996544,102968.79241975759,5537113.260002422
1966.9503252996544,103029.24212642945,5640142.502128852
1967.9503252996544,103081.88667552435,5743224.388804376
1968.9503252996544,103135.88397985791,5846360.272784234
1969.9503252996544,103191.23952056498,5949551.512304799
1970.9503252996544,103247.95900440702,6052799.4713092055
1971.9503252996544,103306.04836240181,6156105.519671608
1972.9503252996544,103365.5137484106,6259471.033420018
1973.9503252996544,103424.78445326957,6362895.817873288
1974.9503252996544,103477.61101610864,6466373.428889397
1975.9503252996544,103531.79282196017,6569905.221711357
1976.9503252996544,103587.33537699885,6673492.5570883555
1977.9503252996544,103644.24441188613,6777136.801500241
1978.9503252996544,103702.52588040214,6880839.327380643
1979.9503252996544,103762.18595803624,6984601.513338679
1980.9503252996544,103820.27320427346,7088421.786542953
1981.9503252996544,103873.2818040881,7192295.0683470415
1982.9503252996544,103927.64811556446,7296222.716462606
1983.9503252996544,103983.37766962562,7400206.094132232
1984.9503252996544,104040.47622055106,7504246.5703527825
1985.9503252996544,104098.94974461262,7608345.520097395
1986.9503252996544,104158.80443866544,7712504.324536061
1987.9503252996544,104215.70382349097,7816720.028359552
1988.9503252996544,104268.89447423536,7920988.922833787
1989.9503252996544,104323.44528613565,8025312.368119923
1990.9503252996544,104379.36181457408,8129691.729934498
1991.9503252996544,104436.64983717167,8234128.379771669
1992.9503252996544,104495.3153524255,8338623.695124095
1993.9503252996544,104555.36457829938,8443179.059702395
1994.9503252996544,104611.0717529967,8547790.131455392
1995.9503252996544,104664.44445941587,8652454.575914808
1996.9503252996544,104719.17975729705,8757173.755672105
1997.9503252996544,104775.28322619977,8861949.038898304
1998.9503252996544,104832.76066681437,8966781.799565118
1999.9503252996544,104891.61809959846,9071673.417664716
2000.9503252996544,104951.86176337415,9176625.27942809
2001.9503252996544,105006.37243335464,9281631.651861446
2002.9503252996544,105059.92719104982,9386691.579052497
2003.9503252996544,105114.84695129695,9491806.426003793
2004.9503252996544,105171.13731755469,9596977.563321348
2005.9503252996544,105228.80411331305,9702206.367434662
2006.9503252996544,105287.85338073387,9807494.220815396
2007.9503252996544,105348.29137924506,9912842.512194641
2008.9503252996544,105401.60130409713,10018244.113498738
2009.9503252996544,105455.33809959504,10123699.451598333
2010.9503252996544,105510.44228949174,10229209.893887825
2011.9503252996544,105566.91950086979,10334776.813388696
2012.9503252996544,105624.77557975455,10440401.58896845
2013.9503252996544,105684.01658975611,10546085.605558205
2014.9503252996544,105744.1993290992,10651829.804887304
2015.9503252996544,105796.75380420499,10757626.558691509
2016.9503252996544,105850.67261502655,10863477.231306536
2017.9503252996544,105905.9611928223,10969383.192499358
2018.9503252996544,105962.62518802915,11075345.817687387
2019.9503252996544,106020.67046894849,11181366.488156335
2020.9503252996544,106080.10312038739,11287446.591276722
2021.9503252996544,106139.09124268359,11393585.682519406
2022.9503252996544,106191.82537257567,11499777.50789198
2023.9503252996544,106245.92616730309,11606023.434059285
2024.9503252996544,106301.39908228414,11712324.833141569
2025.9503252996544,106358.24979104543,11818683.082932614
2026.9503252996544,106416.48418390575,11925099.56711652
2027.9503252996544,106476.10836662394,12031575.675483143
2028.9503252996544,106533.897685061,12138109.573168203
