t_s,pos_err_m,cum_err_m
1980.6357320491527,103803.87671906517,103803.87671906517
4879.628516328708,237023.02289922608,340826.89961829124
8834.046569589473,424232.9678649757,765059.8674832669
11726.185943031489,561626.6005381502,1326686.468021417
15680.603996292255,749524.6599582356,2076211.1279796525
18579.59678057181,887046.6214344315,2963257.749414084
18879.59678057181,899729.5062073545,3862987.2556214384
19179.59678057181,912502.3302865751,4775489.585908013
19479.59678057181,925454.5459307558,5700944.131838769
19779.59678057181,938648.2507409374,6639592.382579707
20079.59678057181,952121.39538908,7591713.777968787
20379.59678057181,965901.0091538731,8557614.78712266
20553.379101783423,974034.2605795485,9531649.047702208
