t_s,pos_err_m,cum_err_m
60.0,2852.0700824815863,2852.0700824815863
120.0,5706.825207865273,8558.89529034686
180.0,8567.600884456357,17126.496174803215
240.0,11437.665285822002,28564.16146062522
300.0,14317.103313496535,42881.26477412175
360.0,17210.559176183524,60091.823950305276
420.0,20121.11363013829,80212.93758044357
480.0,23051.46110424241,103264.39868468598
540.0,25999.089033917848,129263.48771860382
600.0,28969.26395358995,158232.75167219376
660.0,31964.830116060843,190197.5817882546
720.0,34987.53858073155,225185.12036898616
780.0,38032.49827960869,263217.6186485948
840.0,41104.40913080486,304322.0277793997
900.0,44205.99147552306,348528.01925492275
960.0,47337.85172998571,395865.8709849085
1020.0,50493.11728939973,446358.9882743082
1080.0,53674.98390513783,500033.972179446
1140.0,56886.28552467829,556920.2577041243
1200.0,60126.46792006187,617046.7256241862
1260.0,63387.21710438875,680433.942728575
1320.0,66669.56767230252,747103.5104008775
1380.0,69976.79901309381,817080.3094139713
1440.0,73307.33928829682,890387.648702268
1500.0,76652.06125390457,967039.7099561726
1560.0,80009.45014532338,1047049.160101496
1620.0,83383.61117006675,1130432.7712715627
1680.0,86772.21225855543,1217204.9835301181
1740.0,90165.97096953169,1307370.9544996498
1800.0,93560.6691822591,1400931.623681909
1860.0,96961.62124189839,1497893.2449238072
1920.0,100366.06002914222,1598259.3049529495
1980.0,103765.18622363238,1702024.491176582
2040.0,107152.11678676805,1809176.60796335
2100.0,110533.7224804844,1919710.3304438344
2160.0,113907.15282029328,2033617.4832641277
2220.0,117264.6708374752,2150882.1541016027
2280.0,120596.91814563338,2271479.072247236
2340.0,123912.60060951477,2395391.672856751
2400.0,127209.12701877105,2522600.799875522
2460.0,130480.31099783693,2653081.110873359
2520.0,133714.6206217221,2786795.731495081
2580.0,136922.77832488608,2923718.509819967
2640.0,140102.7540520533,3063821.2638720204
2700.0,143250.28139039493,3207071.5452624154
2760.0,146352.03197381977,3353423.577236235
2820.0,149420.80273743896,3502844.379973674
2880.0,152455.35665876945,3655299.7366324435
2940.0,155453.57245831555,3810753.309090759
3000.0,158400.74214774318,3969154.0512385024
3060.0,161311.6483256467,4130465.699564149
3120.0,164185.98269930686,4294651.682263456
3180.0,167023.66626943715,4461675.348532894
3240.0,169809.52170786762,4631484.870240761
3300.0,172559.57766953515,4804044.447910296
3360.0,175274.63637870172,4979319.084288998
3420.0,177955.55310992667,5157274.637398925
3480.0,180590.0471783224,5337864.684577247
3540.0,183192.00693559006,5521056.691512837
3600.0,185764.2276470871,5706820.919159925
3660.0,188308.3619555484,5895129.281115473
3720.0,190814.90047327423,6085944.181588748
3780.0,193295.49845819292,6279239.68004694
3840.0,195754.5598197162,6474994.239866656
3900.0,198194.28457826914,6673188.524444926
3960.0,200607.62696559235,6873796.151410518
4020.0,203003.93103729148,7076800.08244781
4080.0,205388.69289811896,7282188.775345929
4140.0,207764.33083760273,7489953.106183532
4200.0,210125.81679002312,7700078.922973555
4260.0,212480.14666001833,7912559.069633573
4320.0,214833.32311154917,8127392.392745122
4380.0,217187.62835033544,8344580.0210954575
4440.0,219539.53447949456,8564119.555574952
4500.0,221893.72945231927,8786013.285027271
4560.0,224256.14762144326,9010269.432648715
4620.0,226628.62005133156,9236898.052700046
4680.0,229008.60834194405,9465906.66104199
4740.0,231398.64306984819,9697305.304111838
4800.0,233804.1076060439,9931109.411717882
4860.0,236226.16553875856,10167335.57725664
4920.0,238662.83715451678,10405998.414411157
4980.0,241114.77214894924,10647113.186560107
5040.0,243586.47605069866,10890699.662610807
5100.0,246078.36474486723,11136778.027355675
5160.0,248588.7160541379,11385366.743409812
5220.0,251116.68807403083,11636483.431483842
5280.0,253665.76804753538,11890149.199531378
5340.0,256235.6848253785,12146384.884356758
5400.0,258824.8185085891,12405209.702865347
5460.0,261431.29464907857,12666640.997514427
5520.0,264057.62139778305,12930698.618912209
5580.0,266703.01502660016,13197401.63393881
5640.0,269365.9324434826,13466767.566382293
5700.0,272043.9321983659,13738811.498580659
5760.0,274738.7254761502,14013550.224056808
5820.0,277449.25605965155,14290999.48011646
5880.0,280174.12436416285,14571173.604480624
5940.0,282910.7260589324,14854084.330539556
6000.0,285660.2482567592,15139744.578796316
6060.0,288421.61383137864,15428166.192627694
6120.0,291193.6806799505,15719359.873307645
6180.0,293973.9666009396,16013333.839908585
6240.0,296763.44522117806,16310097.285129763
6300.0,299561.23427483,16609658.519404594
6360.0,302366.5375931664,16912025.05699776
6420.0,305177.2196883902,17217202.27668615
6480.0,307994.24805232964,17525196.52473848
6540.0,310817.1143936787,17836013.639132157
6600.0,313645.3871507963,18149659.026282955
6660.0,316477.4699335353,18466136.49621649
6720.0,319314.35366724693,18785450.84988374
6780.0,322156.04425445973,19107606.8941382
6840.0,325002.51314376615,19432609.407281965
6900.0,327852.54976276774,19760461.95704473
6960.0,330707.32248703035,20091169.279531762
7020.0,333567.34475959785,20424736.62429136
7080.0,336432.94373613613,20761169.568027496
7140.0,339303.121570405,21100472.6895979
7200.0,342179.19607983896,21442651.88567774
7260.0,345062.1468311161,21787714.032508858
7320.0,347952.5379422488,22135666.570451107
7380.0,350849.4042481784,22486515.974699285
7440.0,353754.03469503846,22840270.00939432
7500.0,356667.81217565766,23196937.82156998
7560.0,359591.3717428532,23556529.19331283
7620.0,362523.6135044953,23919052.806817327
7680.0,365465.51310558943,24284518.319922917
7740.0,368418.79204668204,24652937.111969598
7800.0,371383.9739143647,25024321.085883964
7860.0,374359.6927237886,25398680.778607752
7920.0,377346.27227088885,25776027.05087864
7980.0,380345.72811872215,26156372.77899736
8040.0,383358.3070510055,26539731.08604837
8100.0,386382.30478949327,26926113.390837863
8160.0,389417.0545960095,27315530.445433874
8220.0,392464.86194376706,27707995.30737764
8280.0,395525.5792198033,28103520.886597443
8340.0,398597.1686860511,28502118.055283494
8400.0,401677.68349247065,28903795.738775965
8460.0,404769.7686806129,29308565.50745658
8520.0,407872.8347683007,29716438.342224877
8580.0,410984.6002516513,30127422.94247653
8640.0,414101.6357296381,30541524.578206167
8700.0,417227.0318072162,30958751.610013384
8760.0,420359.7894463994,31379111.399459783
8820.0,423497.55251524405,31802608.951975025
8880.0,426635.31587040925,32229244.267845433
8940.0,429776.767710683,32659021.035556115
9000.0,432920.6065210291,33091941.642077144
9060.0,436064.630970456,33528006.2730476
9120.0,439202.28065067163,33967208.55369827
9180.0,442338.01724320295,34409546.57094148
9240.0,445470.39998063183,34855016.97092211
9300.0,448597.64166933886,35303614.61259145
9360.0,451711.7489819941,35755326.36157345
9420.0,454818.1264468011,36210144.48802025
9480.0,457915.38501274586,36668059.873032995
9540.0,461002.1726188496,37129062.045651846
9600.0,464069.9578303024,37593132.00348215
